product_id,product_name,category,brand,price
172,Neutrogena Max Lipstick,Beauty,Neutrogena,84.77
173,Nerf Max RC Car,Toys,Nerf,63.4
174,Adidas Classic Yoga Mat,Sports Equipment,Adidas,194.56
175,Fisher-Price Mini RC Car,Toys,Fisher-Price,58.63
176,Spalding Max Yoga Mat,Sports Equipment,Spalding,98.52
177,Apple Essential Monitor,Electronics,Apple,1488.3
178,Under Armour Pro Running Shoes,Sports Equipment,Under Armour,11.5
179,Dyson Deluxe Air Fryer,Home & Kitchen,Dyson,486.21
180,Kellogg's Smart Cereal,Grocery,Kellogg's,5.05
181,Adidas Classic Tennis Racket,Sports Equipment,Adidas,86.64
182,Samsung Pro Monitor,Electronics,Samsung,675.46
183,Adidas Pro Dumbbell Set,Sports Equipment,Adidas,258.69
184,Nike Max Dumbbell Set,Sports Equipment,Nike,107.03
185,Maybelline Deluxe Lipstick,Beauty,Maybelline,141.13
186,IKEA Mini Vacuum,Home & Kitchen,IKEA,304.0
187,Dove Essential Serum,Beauty,Dove,85.38
188,KitchenAid Max Blender,Home & Kitchen,KitchenAid,102.39
189,Simon & Schuster Ultra Biography,Books,Simon & Schuster,48.34
190,LEGO Pro Doll,Toys,LEGO,11.07
191,Neutrogena Plus Lipstick,Beauty,Neutrogena,126.39
192,Kraft Essential Cereal,Grocery,Kraft,16.8
193,Dove Essential Perfume,Beauty,Dove,69.03
194,Penguin Smart Guidebook,Books,Penguin,39.19
195,Neutrogena Max Face Cream,Beauty,Neutrogena,32.25
196,Adidas Premium Sneakers,Clothing,Adidas,138.33
197,Nerf Max RC Car,Toys,Nerf,42.46
198,IKEA Mini Coffee Maker,Home & Kitchen,IKEA,473.82
199,Adidas Essential Jeans,Clothing,Adidas,97.62
200,H&M Classic Sneakers,Clothing,H&M,41.6
